Deformation,      Standard force,       Bending angle,Absolute crosshead t
1.272777020931e-01,  8.611122894287e+01,  3.243437500425e-01, -1.825588566186e+02
1.292775571346e-01,  8.720542144775e+01,  3.294437336113e-01, -1.825568567635e+02
1.312833577394e-01,  8.830302429199e+01,  3.345589948085e-01, -1.825548509629e+02
1.332912147045e-01,  8.945687103271e+01,  3.396796159341e-01, -1.825528431060e+02
1.349547654390e-01,  9.049168395996e+01,  3.439222434064e-01, -1.825511795552e+02
1.366218477488e-01,  9.159092712402e+01,  3.481739573315e-01, -1.825495124729e+02
1.382885575294e-01,  9.266474914551e+01,  3.524248009314e-01, -1.825478457631e+02
1.402869671583e-01,  9.378890228271e+01,  3.575217302943e-01, -1.825458473535e+02
1.422869563103e-01,  9.494123077393e+01,  3.626228030003e-01, -1.825438473644e+02
1.439488679171e-01,  9.600170135498e+01,  3.668616793026e-01, -1.825421854528e+02
1.459495574236e-01,  9.715071105957e+01,  3.719647486016e-01, -1.825401847632e+02
1.479477286339e-01,  9.826455688477e+01,  3.770615092496e-01, -1.825381865920e+02
1.499510109425e-01,  9.942705535889e+01,  3.821714218507e-01, -1.825361833097e+02
1.519512683153e-01,  1.006269454956e+02,  3.872737334200e-01, -1.825341830524e+02
1.536113917828e-01,  1.016685791016e+02,  3.915085092269e-01, -1.825325229289e+02
1.556120216846e-01,  1.027966461182e+02,  3.966119811443e-01, -1.825305222990e+02
1.576182544231e-01,  1.038969268799e+02,  4.017298608070e-01, -1.825285160662e+02
1.596191972494e-01,  1.050835342407e+02,  4.068343609361e-01, -1.825265151234e+02
1.616190820932e-01,  1.062637481689e+02,  4.119362768263e-01, -1.825245152386e+02
1.636203229427e-01,  1.074080581665e+02,  4.170417668273e-01, -1.825225139977e+02
1.652912050486e-01,  1.084227828979e+02,  4.213045460476e-01, -1.825208431156e+02
1.669564247131e-01,  1.094902114868e+02,  4.255529587941e-01, -1.825191778960e+02
1.689575761557e-01,  1.106186218262e+02,  4.306585268989e-01, -1.825171767445e+02
1.709581613541e-01,  1.117351608276e+02,  4.357627650689e-01, -1.825151761593e+02
1.729480922222e-01,  1.128895721436e+02,  4.408399338623e-01, -1.825131862284e+02
1.746139824390e-01,  1.139599990845e+02,  4.450904229627e-01, -1.825115203382e+02
1.762818992138e-01,  1.149958801270e+02,  4.493461624534e-01, -1.825098524215e+02
1.782858967781e-01,  1.161404571533e+02,  4.544595275345e-01, -1.825078484239e+02
1.799485534430e-01,  1.171892776489e+02,  4.587020204803e-01, -1.825061857672e+02
1.819465458393e-01,  1.183302917480e+02,  4.638002725707e-01, -1.825041877748e+02
1.839450299740e-01,  1.194340820313e+02,  4.688998938042e-01, -1.825021892907e+02
1.856102794409e-01,  1.205280227661e+02,  4.731492726153e-01, -1.825005240412e+02
1.872792243958e-01,  1.216604537964e+02,  4.774081612367e-01, -1.824988550963e+02
1.892779916525e-01,  1.228366851807e+02,  4.825088101621e-01, -1.824968563290e+02
1.912804841995e-01,  1.239514770508e+02,  4.876190803474e-01, -1.824948538365e+02
1.932942271233e-01,  1.250556716919e+02,  4.927581767488e-01, -1.824928400935e+02
1.952967196703e-01,  1.262446899414e+02,  4.978686771577e-01, -1.824908376010e+02
1.969489008188e-01,  1.273375549316e+02,  5.020852448969e-01, -1.824891854198e+02
1.986178606749e-01,  1.283458251953e+02,  5.063447132579e-01, -1.824875164600e+02
2.006088197231e-01,  1.294648590088e+02,  5.114260823794e-01, -1.824855255009e+02
2.022811770439e-01,  1.305088043213e+02,  5.156943968680e-01, -1.824838531436e+02
2.039539515972e-01,  1.316894683838e+02,  5.199638562952e-01, -1.824821803691e+02
2.056162804365e-01,  1.328082580566e+02,  5.242067341971e-01, -1.824805180402e+02
2.076196670532e-01,  1.338421325684e+02,  5.293202227001e-01, -1.824785146536e+02
2.096152901649e-01,  1.350346679688e+02,  5.344140095899e-01, -1.824765190305e+02
2.112836837769e-01,  1.360587158203e+02,  5.386726373345e-01, -1.824748506369e+02
2.129476964474e-01,  1.371331787109e+02,  5.429201618725e-01, -1.824731866242e+02
2.146179527044e-01,  1.382117919922e+02,  5.471837032814e-01, -1.824715163680e+02
2.162782698870e-01,  1.392749633789e+02,  5.514219529907e-01, -1.824698560508e+02
2.182797491550e-01,  1.403035888672e+02,  5.565311832953e-01, -1.824678545715e+02
2.206197530031e-01,  1.414375915527e+02,  5.625047196581e-01, -1.824655145677e+02
2.222886681557e-01,  1.426498565674e+02,  5.667652037155e-01, -1.824638456525e+02
2.239564806223e-01,  1.437149505615e+02,  5.710229523068e-01, -1.824621778400e+02
2.259531766176e-01,  1.448682708740e+02,  5.761204102603e-01, -1.824601811441e+02
2.279547750950e-01,  1.460043640137e+02,  5.812304983237e-01, -1.824581795456e+02
2.299483567476e-01,  1.471524963379e+02,  5.863202331818e-01, -1.824561859639e+02
2.319479882717e-01,  1.482802124023e+02,  5.914255277820e-01, -1.824541863324e+02
2.336133122444e-01,  1.493141479492e+02,  5.956773830300e-01, -1.824525210084e+02
2.352822571993e-01,  1.503715209961e+02,  5.999385627288e-01, -1.824508520635e+02
2.369499802589e-01,  1.514195251465e+02,  6.041967021228e-01, -1.824491843404e+02
2.386123836040e-01,  1.524793243408e+02,  6.084413379177e-01, -1.824475219371e+02
2.402833402157e-01,  1.535468750000e+02,  6.127078923979e-01, -1.824458509805e+02
2.422800958157e-01,  1.547359924316e+02,  6.178064336666e-01, -1.824438542249e+02
2.442772686481e-01,  1.558712921143e+02,  6.229061541586e-01, -1.824418570520e+02
2.459467351437e-01,  1.569362030029e+02,  6.271691737854e-01, -1.824401875855e+02
2.476201355457e-01,  1.579675292969e+02,  6.314423185609e-01, -1.824385141851e+02
2.492874860764e-01,  1.590399322510e+02,  6.357000940524e-01, -1.824368468346e+02
2.512877583504e-01,  1.601505432129e+02,  6.408081290091e-01, -1.824348465623e+02
2.532850503922e-01,  1.612576141357e+02,  6.459086673472e-01, -1.824328492703e+02
2.549507021904e-01,  1.623438873291e+02,  6.501623741224e-01, -1.824311836185e+02
2.566182613373e-01,  1.633559722900e+02,  6.544210311282e-01, -1.824295160593e+02
2.586139738560e-01,  1.644302215576e+02,  6.595178392346e-01, -1.824275203468e+02
2.606083750725e-01,  1.655445861816e+02,  6.646114119219e-01, -1.824255259456e+02
2.622876763344e-01,  1.666796112061e+02,  6.689003275222e-01, -1.824238466443e+02
2.639539241791e-01,  1.677206726074e+02,  6.731559843315e-01, -1.824221803965e+02
2.659545540810e-01,  1.689071502686e+02,  6.782657695068e-01, -1.824201797666e+02
2.676081657410e-01,  1.699740905762e+02,  6.824893256350e-01, -1.824185261549e+02
2.696148157120e-01,  1.710599975586e+02,  6.876146958223e-01, -1.824165195050e+02
2.716161310673e-01,  1.722333374023e+02,  6.927265546961e-01, -1.824145181896e+02
2.736130952835e-01,  1.733949584961e+02,  6.978274134595e-01, -1.824125212254e+02
2.752817571163e-01,  1.744111480713e+02,  7.020897744558e-01, -1.824108525636e+02
2.769532501698e-01,  1.755364532471e+02,  7.063594469524e-01, -1.824091810705e+02
2.789553105831e-01,  1.766301879883e+02,  7.114736275963e-01, -1.824071790101e+02
2.806273400784e-01,  1.776428833008e+02,  7.157448454004e-01, -1.824055069806e+02
