Machine name,Method,XDistanceToStartpoint,YDistanceToStartpoint,Hardness
,"HV 0,5",0.0,0.0,395
,"HV 0,5",1.62,-0.001,362
,"HV 0,5",3.241,-0.001,298
,"HV 0,5",4.862,-0.001,239
,"HV 0,5",6.483,-0.001,197
,"HV 0,5",8.104,0.0,215
,"HV 0,5",9.725,0.0,207
,"HV 0,5",11.346,0.0,188
,"HV 0,5",12.967,0.0,181
,"HV 0,5",14.588,0.0,182
,"HV 0,5",16.66,-0.035,176
,"HV 0,5",18.658,-0.004,197
,"HV 0,5",20.658,0.027,224
,"HV 0,5",22.658,0.058,216
,"HV 0,5",24.652,0.08,183
,"HV 0,5",26.658,0.12,211
