$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  4.943440202624e-03;  6.124555587769e+01; -7.636893180993e+01
  5.359757225960e-03;  6.242932510376e+01; -7.636851549291e+01
  5.864569917321e-03;  6.343748855591e+01; -7.636801068022e+01
  6.694057956338e-03;  6.447058868408e+01; -7.636718119218e+01
  7.528878748417e-03;  6.501808166504e+01; -7.636634637139e+01
  8.364919573069e-03;  6.517745208740e+01; -7.636551033056e+01
  9.194804355502e-03;  6.519996643066e+01; -7.636468044578e+01
  1.003189757466e-02;  6.540312194824e+01; -7.636384335256e+01
  1.086081471294e-02;  6.529138946533e+01; -7.636301443542e+01
  1.169424317777e-02;  6.515220642090e+01; -7.636218100696e+01
  1.252545602620e-02;  6.546069335938e+01; -7.636134979411e+01
  1.336530502886e-02;  6.537443542480e+01; -7.636050994511e+01
  1.419373415411e-02;  6.527377319336e+01; -7.635968151598e+01
  1.503131724894e-02;  6.545821380615e+01; -7.635884393289e+01
  1.586328446865e-02;  6.524129486084e+01; -7.635801196567e+01
  1.669744402170e-02;  6.533399963379e+01; -7.635717780611e+01
  1.752842403948e-02;  6.530736541748e+01; -7.635634682610e+01
  1.836060173810e-02;  6.551761627197e+01; -7.635551464840e+01
  1.919175684452e-02;  6.579588317871e+01; -7.635468349329e+01
  2.002826146781e-02;  6.580223846436e+01; -7.635384698867e+01
  2.086237072945e-02;  6.604118347168e+01; -7.635301287941e+01
  2.169886790216e-02;  6.627050018311e+01; -7.635217638223e+01
  2.253563888371e-02;  6.632479095459e+01; -7.635133961125e+01
  2.336550690234e-02;  6.638285064697e+01; -7.635050974323e+01
  2.419696375728e-02;  6.648737335205e+01; -7.634967828638e+01
  2.503250166774e-02;  6.622454071045e+01; -7.634884274847e+01
  2.585870958865e-02;  6.624558258057e+01; -7.634801654055e+01
  2.669671177864e-02;  6.594699859619e+01; -7.634717853836e+01
  2.753371186554e-02;  6.559137725830e+01; -7.634634153827e+01
  2.836071886122e-02;  6.522746276855e+01; -7.634551453127e+01
  2.919915318489e-02;  6.503952789307e+01; -7.634467609695e+01
  3.003220073879e-02;  6.514113616943e+01; -7.634384304940e+01
  3.085968270898e-02;  6.536853790283e+01; -7.634301556743e+01
  3.169376403093e-02;  6.548290252686e+01; -7.634218148610e+01
  3.253028541803e-02;  6.584389495850e+01; -7.634134496472e+01
  3.335813432932e-02;  6.601634979248e+01; -7.634051711581e+01
  3.419539332390e-02;  6.617840576172e+01; -7.633967985681e+01
  3.502985462546e-02;  6.618373870850e+01; -7.633884539551e+01
  3.586062043905e-02;  6.650688171387e+01; -7.633801462970e+01
  3.669658675790e-02;  6.662541198730e+01; -7.633717866338e+01
  3.753040358424e-02;  6.698313903809e+01; -7.633634484655e+01
  3.836639598012e-02;  6.730813598633e+01; -7.633550885416e+01
  3.919711336493e-02;  6.787005615234e+01; -7.633467813677e+01
  4.003029689193e-02;  6.835691833496e+01; -7.633384495324e+01
  4.086081311107e-02;  6.869591522217e+01; -7.633301443702e+01
  4.169392585754e-02;  6.886981964111e+01; -7.633218132428e+01
  4.252783209085e-02;  6.875195312500e+01; -7.633134741804e+01
  4.336366802454e-02;  6.878153991699e+01; -7.633051158211e+01
  4.419990256429e-02;  6.860320281982e+01; -7.632967534757e+01
  4.502872377634e-02;  6.884838867188e+01; -7.632884652636e+01
  4.586102440953e-02;  6.885595703125e+01; -7.632801422573e+01
  4.669931903481e-02;  6.906063079834e+01; -7.632717593110e+01
  4.752631857991e-02;  6.922419738770e+01; -7.632634893156e+01
  4.836389794946e-02;  6.937513732910e+01; -7.632551135219e+01
  4.919535666704e-02;  6.961240386963e+01; -7.632467989347e+01
  5.002780631185e-02;  6.970812225342e+01; -7.632384744382e+01
  5.086106806993e-02;  6.987681579590e+01; -7.632301418207e+01
  5.169272422791e-02;  6.995644378662e+01; -7.632218252591e+01
  5.252822861075e-02;  6.992988586426e+01; -7.632134702152e+01
  5.336240306497e-02;  7.016448974609e+01; -7.632051284707e+01
  5.419624596834e-02;  7.027083587646e+01; -7.631967900417e+01
  5.502517521381e-02;  7.060753631592e+01; -7.631885007492e+01
  5.585899204016e-02;  7.068521881104e+01; -7.631801625809e+01
  5.669346824288e-02;  7.112937164307e+01; -7.631718178189e+01
  5.752937123179e-02;  7.143906402588e+01; -7.631634587890e+01
  5.836300179362e-02;  7.199362945557e+01; -7.631551224834e+01
  5.919662863016e-02;  7.238966369629e+01; -7.631467862150e+01
  6.002607941628e-02;  7.223579406738e+01; -7.631384917072e+01
  6.086711212993e-02;  7.233809661865e+01; -7.631300813801e+01
  6.169025972486e-02;  7.249591827393e+01; -7.631218499041e+01
  6.253045052290e-02;  7.222854614258e+01; -7.631134479961e+01
  6.336407363415e-02;  7.234481048584e+01; -7.631051117650e+01
  6.419520825148e-02;  7.259158325195e+01; -7.630968004188e+01
  6.502872705460e-02;  7.304806518555e+01; -7.630884652308e+01
  6.586490571499e-02;  7.316094207764e+01; -7.630801034442e+01
  6.669443845749e-02;  7.335662841797e+01; -7.630718081168e+01
  6.753001362085e-02;  7.368795013428e+01; -7.630634523651e+01
  6.836421787739e-02;  7.410523223877e+01; -7.630551103226e+01
  6.919833272696e-02;  7.445531463623e+01; -7.630467691741e+01
  7.002887874842e-02;  7.522544097900e+01; -7.630384637139e+01
  7.086443901062e-02;  7.576109313965e+01; -7.630301081112e+01
  7.169214636087e-02;  7.636811065674e+01; -7.630218310377e+01
  7.244774699211e-02;  7.747824859619e+01; -7.630142750314e+01
  7.286542654037e-02;  7.853186035156e+01; -7.630100982359e+01
  7.319660484791e-02;  7.970223999023e+01; -7.630067864529e+01
  7.344455271959e-02;  8.084024047852e+01; -7.630043069742e+01
  7.369588315487e-02;  8.192608642578e+01; -7.630017936698e+01
  7.394495606422e-02;  8.296727752686e+01; -7.629993029407e+01
  7.419353723526e-02;  8.410159301758e+01; -7.629968171290e+01
  7.444348186255e-02;  8.513169097900e+01; -7.629943176827e+01
  7.469531148672e-02;  8.621254730225e+01; -7.629917993865e+01
