$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  4.149473831058e-02;  6.114887619019e+01; -7.626249628789e+01
  4.232737794518e-02;  6.128638458252e+01; -7.626166364825e+01
  4.316246882081e-02;  6.146598434448e+01; -7.626082855738e+01
  4.399362578988e-02;  6.139177703857e+01; -7.625999740041e+01
  4.482780396938e-02;  6.162525939941e+01; -7.625916322223e+01
  4.565889388323e-02;  6.171200180054e+01; -7.625833213231e+01
  4.649425670505e-02;  6.161962890625e+01; -7.625749676949e+01
  4.732942208648e-02;  6.172887039185e+01; -7.625666160411e+01
  4.816277325153e-02;  6.197506713867e+01; -7.625582825295e+01
  4.899850487709e-02;  6.213222122192e+01; -7.625499252132e+01
  4.982952773571e-02;  6.190277481079e+01; -7.625416149846e+01
  5.065928027034e-02;  6.217090988159e+01; -7.625333174593e+01
  5.148871988058e-02;  6.217827987671e+01; -7.625250230632e+01
  5.233167111874e-02;  6.217895126343e+01; -7.625165935508e+01
  5.316083133221e-02;  6.231328964233e+01; -7.625083019486e+01
  5.399493873119e-02;  6.247704315186e+01; -7.624999608747e+01
  5.482905358076e-02;  6.265017700195e+01; -7.624916197262e+01
  5.566009506583e-02;  6.291785430908e+01; -7.624833093113e+01
  5.648929625750e-02;  6.289577484131e+01; -7.624750172994e+01
  5.733093991876e-02;  6.311759185791e+01; -7.624666008628e+01
  5.816283449531e-02;  6.324831771851e+01; -7.624582819170e+01
  5.899453535676e-02;  6.346161651611e+01; -7.624499649084e+01
  5.982669815421e-02;  6.340445327759e+01; -7.624416432804e+01
  6.066297367215e-02;  6.364856719971e+01; -7.624332805253e+01
  6.149284169078e-02;  6.363088607788e+01; -7.624249818451e+01
  6.233109161258e-02;  6.377244949341e+01; -7.624165993458e+01
  6.316292285919e-02;  6.395479583740e+01; -7.624082810334e+01
  6.399248540401e-02;  6.400641632080e+01; -7.623999854079e+01
  6.482812017202e-02;  6.400799560547e+01; -7.623916290603e+01
  6.565662473440e-02;  6.419520568848e+01; -7.623833440146e+01
  6.649547070265e-02;  6.421466064453e+01; -7.623749555549e+01
  6.733183562756e-02;  6.421982574463e+01; -7.623665919057e+01
  6.816353648901e-02;  6.421214294434e+01; -7.623582748971e+01
  6.899816542864e-02;  6.446932220459e+01; -7.623499286077e+01
  6.982942670584e-02;  6.468607330322e+01; -7.623416159949e+01
  7.066420465708e-02;  6.486581420898e+01; -7.623332682154e+01
  7.149646431208e-02;  6.489056396484e+01; -7.623249456189e+01
  7.232946902514e-02;  6.526757812500e+01; -7.623166155717e+01
  7.316187024117e-02;  6.549884033203e+01; -7.623082915596e+01
  7.399731129408e-02;  6.595217895508e+01; -7.622999371490e+01
  7.482492923737e-02;  6.615234375000e+01; -7.622916609696e+01
  7.566133141518e-02;  6.655241394043e+01; -7.622832969478e+01
  7.649314403534e-02;  6.740132141113e+01; -7.622749788216e+01
  7.732440531254e-02;  6.787934112549e+01; -7.622666662088e+01
  7.816081494093e-02;  6.840428161621e+01; -7.622583021126e+01
  7.899525761604e-02;  6.892584991455e+01; -7.622499576858e+01
  7.982899248600e-02;  6.947779083252e+01; -7.622416203371e+01
  8.066035807133e-02;  7.031214904785e+01; -7.622333066813e+01
  8.149733394384e-02;  7.099401855469e+01; -7.622249369225e+01
  8.232910186052e-02;  7.183605957031e+01; -7.622166192434e+01
  8.315887302160e-02;  7.273284912109e+01; -7.622083215318e+01
  8.399283885956e-02;  7.351905059814e+01; -7.621999818734e+01
  8.482775837183e-02;  7.446742248535e+01; -7.621916326783e+01
  8.557797223330e-02;  7.552175903320e+01; -7.621841305396e+01
  8.633287250996e-02;  7.665557861328e+01; -7.621765815369e+01
  8.691056072712e-02;  7.776541900635e+01; -7.621708046547e+01
